customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
7590-VHVEG,0,-1.27744458367877,-1.16032291603492,-0.994241935310123,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5575-GNVDE,0,0.066327419082236,-0.259628941944881,-0.173244125749594,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
3668-QPYBK,0,-1.23672421995873,-0.36266035595518,-0.959674071202044,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
7795-CFOCW,0,0.51425142000257,-0.746535462993555,-0.194766263364777,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
9237-HQITU,0,-1.23672421995873,0.197365233100803,-0.940469702253111,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
9305-CDSKC,0,-0.992402037638553,1.15954569619699,-0.645185974172795,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1
1452-KIOVK,0,-0.422316945558128,0.808906529161936,-0.14679948896704,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
6713-OKOMC,0,-0.910961310198492,-1.16364651003525,-0.874137370423751,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7892-POOKP,0,-0.177994763237946,1.3307107872141,0.337349274431747,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
6388-TABGU,0,1.20649760324309,-0.286217693947539,0.532439174168148,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9763-GRSKD,0,-0.788800219038401,-0.492280521968138,-0.74807282896702,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
7469-LKBCI,0,-0.66663912787831,-1.52259466207113,-0.863144524749534,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
8091-TTVAX,0,1.04361614836296,1.18281085419931,1.50067047900383,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
0280-XJGEX,0,0.677132874882691,1.29415125321044,1.21600433881367,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
5129-JLPIS,0,-0.300155854398037,1.35397594521643,0.178416565888854,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
3655-SNQYZ,0,1.4915401492833,1.61155448024217,2.47812871052992,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
8191-XWSZG,0,0.799293966042782,-1.46609356406549,-0.555808399604715,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
9959-WOFKT,0,1.57298087672336,1.39385907322041,2.25169374883089,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
4190-MFLUW,0,-0.910961310198492,-0.317791836950695,-0.774164281952812,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
4183-MYFRB,0,-0.463037309278159,0.840480672165093,-0.18498748699193,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
8779-QRDMV,1,-1.27744458367877,-0.834610704002359,-0.989915433799789,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
1680-VDCWW,0,-0.829520582758432,-1.49434411306831,-0.918130827107916,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
1066-JKSGK,0,-1.27744458367877,-1.48271153406715,-0.998524288845862,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
3638-WEABW,0,1.04361614836296,-0.16158291893508,0.540010551811233,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
6322-HRPFA,0,0.677132874882691,-0.171553700936076,0.303907183675847,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6865-JZNKO,0,-0.0965540357978854,-0.314468242950363,-0.331691206571939,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6467-CHFZW,0,0.595692147442631,1.14957491419599,1.08923342976342,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
8665-UTDHZ,0,-1.27744458367877,-1.14869033703376,-0.99408741739904,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5248-YGIJN,0,1.61370124044339,0.847127860165757,1.80456306213022,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0
8773-HHUOZ,0,-0.62591876415828,-0.00205040691913153,-0.524838595426149,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
3841-NFECX,1,1.57298087672336,1.04986709418602,1.98005126114633,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0
4929-XIHVW,1,-1.23672421995873,1.0216165451832,-0.927225309874537,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0
6827-IEAUQ,0,-0.218715126957977,0.0461417060856861,-0.179888395926179,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
7310-EGVHZ,0,-1.27744458367877,-1.48104973706698,-0.998502214858565,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
3413-BMNZE,1,-1.27744458367877,-0.648489439983754,-0.987443147222455,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6234-RAAPL,0,1.61370124044339,1.16785468119782,2.19405856799679,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
6047-YHPVI,0,-1.11456312879864,0.164129293097481,-0.867515174234464,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
6572-ADKRS,0,0.5549717837226,0.333632587114425,0.55908247683638,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
5380-WJKOV,0,0.066327419082236,1.38222649421925,0.559501882595035,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1
