customerID,tenure,MonthlyCharges,service_count
7590-VHVEG,1,29.849999999999973,1
5575-GNVDE,34,56.94999999999995,3
3668-QPYBK,2,53.84999999999998,3
7795-CFOCW,45,42.29999999999997,3
9237-HQITU,2,70.69999999999995,1
9305-CDSKC,8,99.64999999999998,5
1452-KIOVK,22,89.09999999999992,4
6713-OKOMC,10,29.750000000000036,1
7892-POOKP,28,104.79999999999995,6
6388-TABGU,62,56.149999999999956,3
9763-GRSKD,13,49.94999999999997,2
7469-LKBCI,16,18.95000000000013,1
8091-TTVAX,58,100.3499999999998,5
0280-XJGEX,49,103.69999999999979,6
5129-JLPIS,25,105.50000000000009,6
3655-SNQYZ,69,113.2499999999998,8
8191-XWSZG,52,20.649999999999878,1
9959-WOFKT,71,106.69999999999987,6
4190-MFLUW,10,55.19999999999997,3
4183-MYFRB,21,90.04999999999994,4
8779-QRDMV,1,39.64999999999999,2
1680-VDCWW,12,19.800000000000004,1
1066-JKSGK,1,20.149999999999913,1
3638-WEABW,58,59.89999999999994,4
6322-HRPFA,49,59.599999999999966,4
6865-JZNKO,30,55.299999999999955,3
6467-CHFZW,47,99.34999999999988,5
8665-UTDHZ,1,30.199999999999882,1
5248-YGIJN,72,90.24999999999993,8
8773-HHUOZ,17,64.69999999999996,3
3841-NFECX,71,96.3499999999998,6
4929-XIHVW,2,95.49999999999993,4
6827-IEAUQ,27,66.14999999999996,5
7310-EGVHZ,1,20.20000000000003,1
3413-BMNZE,1,45.24999999999996,1
6234-RAAPL,72,99.89999999999995,6
6047-YHPVI,5,69.69999999999996,1
6572-ADKRS,46,74.79999999999994,2
5380-WJKOV,34,106.34999999999995,6
8168-UQWWF,11,97.85,5
8865-TNMNX,10,49.54999999999997,2
9489-DEDVP,70,69.19999999999995,5
9867-JCZSP,17,20.750000000000114,1
4671-VJLCL,63,79.84999999999995,7
4080-IIARD,13,76.19999999999996,6
3714-NTNFO,49,84.49999999999994,3
5948-UJZLF,2,49.249999999999964,2
7760-OYPDY,2,80.64999999999995,2
7639-LIAYI,52,79.74999999999993,6
2954-PIBKO,69,64.14999999999996,5
8012-SOUDQ,43,90.24999999999993,4
9420-LOJKX,15,99.0999999999999,5
6575-SUVOI,25,69.49999999999994,5
7495-OOKFY,8,80.64999999999995,3
4667-QONEA,60,74.84999999999994,6
1658-BYGOY,18,95.4499999999998,4
8769-KKTPH,63,99.64999999999998,5
5067-XJQFU,66,108.45000000000005,7
3957-SQXML,34,24.949999999999974,2
5954-BDFSG,72,107.49999999999991,6
0434-CSFON,47,100.49999999999986,5
1215-FIGMP,60,89.89999999999995,4
0526-SXDJP,72,42.09999999999998,3
0557-ASKVU,18,54.39999999999996,3
5698-BQJOH,9,94.39999999999995,4
5122-CYFXA,3,75.29999999999993,5
8627-ZYGSZ,47,78.89999999999996,3
3410-YOQBQ,31,79.19999999999995,6
3170-NMYVV,50,20.149999999999913,1
7410-OIEDU,10,79.84999999999995,3
2273-QCKXA,1,49.049999999999976,2
0731-EBJQB,52,20.3999999999999,1
1891-QRQSA,64,111.59999999999985,7
8028-PNXHQ,62,24.25000000000015,2
5630-AHZIL,3,64.49999999999996,4
2673-CXQEU,56,110.5,7
6416-JNVRK,46,55.64999999999996,2
5590-ZSKRV,8,54.64999999999998,3
0191-ZHSKZ,30,74.74999999999994,5
3887-PBQAO,45,25.900000000000084,2
5919-TMRGD,1,79.34999999999994,2
8108-UXRQN,11,50.549999999999955,3
9191-MYQKX,7,75.14999999999995,2
9919-YLNNG,42,103.80000000000003,6
0318-ZOPWS,49,20.149999999999913,1
4445-ZJNMU,9,99.30000000000007,5
4808-YNLEU,35,62.149999999999956,3
1862-QRWPE,48,20.649999999999878,1
2796-NNUFI,46,19.950000000000053,1
3016-KSVCP,29,33.750000000000036,1
4767-HZZHQ,30,82.04999999999994,3
2424-WVHPL,1,74.69999999999995,2
7233-PAHHL,66,83.99999999999994,7
6067-NGCEU,65,111.04999999999978,7
9848-JQJTX,72,100.89999999999989,6
8637-XJIVR,12,78.94999999999996,3
9803-FTJCG,71,66.84999999999995,5
0278-YXOOG,5,21.049999999999912,1
3212-KXOCR,52,21.000000000000092,1
4598-XLKNJ,25,98.5,5
6380-ARCEH,1,20.20000000000003,1
3679-XASPY,1,19.450000000000088,1
7123-WQUHX,38,94.99999999999996,5
5386-THSLQ,66,45.54999999999997,3
3192-NQECA,68,110.00000000000004,7
6180-YBIQI,5,24.29999999999996,0
6728-DKUCO,72,104.14999999999993,6
9750-BOOHV,32,30.15000000000007,1
8597-CWYHH,43,94.34999999999992,4
2848-YXSMW,72,19.39999999999997,1
0486-HECZI,55,96.74999999999983,5
4549-ZDQYY,52,57.949999999999974,4
5712-AHQNN,43,91.64999999999995,4
4846-WHAFZ,37,76.49999999999997,2
5256-SKJGO,64,54.59999999999998,4
3071-VBYPO,3,89.84999999999992,4
9560-BBZXK,36,31.05000000000006,1
5299-RULOA,10,100.24999999999987,5
8402-OOOHJ,41,20.649999999999878,1
9445-ZUEQE,27,85.19999999999995,4
1091-SOZGA,56,99.80000000000003,5
2928-HLDBA,6,20.699999999999996,1
0404-SWRVG,3,74.39999999999998,2
6497-TILVL,7,50.699999999999974,2
7219-TLZHO,4,20.850000000000044,1
4622-YNKIJ,33,88.94999999999993,4
4412-YLTKF,27,78.04999999999994,3
6734-PSBAW,72,23.55000000000002,2
3930-ZGWVE,1,19.749999999999886,1
2639-UGMAZ,71,56.44999999999996,4
2876-GZYZC,13,85.94999999999995,3
6207-WIOLX,25,58.59999999999995,5
8587-XYZSF,67,50.549999999999955,2
3091-FYHKI,1,35.449999999999974,1
2372-HWUHI,2,44.349999999999966,1
7799-LGRDP,43,25.699999999999918,2
7850-VWJUU,23,74.99999999999996,2
3774-VBNXY,64,20.20000000000003,1
6217-KDYWC,57,19.599999999999838,1
0390-DCFDQ,1,70.44999999999996,1
3146-MSEGF,72,88.04999999999994,8
4080-OGPJL,8,71.14999999999995,5
1095-WGNGG,61,101.04999999999993,5
2636-SJDOU,64,84.29999999999995,4
1131-QQZEB,71,23.950000000000053,2
5716-EZXZN,65,99.05000000000007,6
6837-BJYDQ,3,19.599999999999838,1
2135-RXIHG,1,45.64999999999996,1
6440-DKQGE,30,64.49999999999996,4
3466-BYAVD,15,69.49999999999994,5
3780-YVMFA,8,68.54999999999995,4
3874-EQOEP,7,94.99999999999996,4
1679-JRFBR,70,108.14999999999995,7
9073-ZZIAY,62,86.09999999999994,7
3077-RSNTJ,6,19.700000000000074,1
6551-GNYDG,14,80.89999999999996,2
9167-APMXZ,22,84.14999999999996,3
2749-CTKAJ,22,20.149999999999913,1
6371-NZYEG,16,64.24999999999996,4
7554-NEWDD,10,25.699999999999918,2
8992-VONJD,13,55.999999999999964,3
0867-MKZVY,20,82.39999999999995,3
4482-EWFMI,2,69.69999999999996,1
4648-YPBTM,53,73.89999999999995,6
