algorithm,cluster,count,tenure_mean,MonthlyCharges_mean,service_count_mean
KMeans,0,1634,10.446144430844553,68.41881884944915,2.416156670746634
KMeans,1,1047,20.91212989493792,90.84202483285571,4.760267430754537
KMeans,2,816,54.1764705882353,25.150122549019596,1.4865196078431373
KMeans,3,1280,10.30703125,25.868593749999985,1.08515625
KMeans,4,1346,61.573551263001484,97.83933878157495,6.379643387815751
KMeans,5,920,52.98586956521739,69.43760869565213,3.873913043478261
Hierarchical,0,1677,13.22778771615981,59.57850327966603,2.0250447227191413
Hierarchical,1,1293,60.480278422273784,99.28754833720025,6.364269141531323
Hierarchical,2,1538,18.45773732119636,86.17961638491542,4.261378413524057
Hierarchical,3,907,53.85887541345094,27.016538037486207,1.5711135611907387
Hierarchical,4,906,9.839955849889625,21.359657836644573,0.9216335540838853
Hierarchical,5,722,57.41412742382271,71.22513850415508,4.49584487534626
