algorithm,k,inertia,silhouette
KMeans,2,10462.924367788612,0.425508382266935
Hierarchical,2,,0.40373157804512183
KMeans,3,6951.511532481879,0.4054913591594427
Hierarchical,3,,0.332269938502992
KMeans,4,5096.321895164635,0.4211747280048589
Hierarchical,4,,0.3457054945092408
KMeans,5,4138.388949825547,0.3834571382967063
Hierarchical,5,,0.34783773311047234
KMeans,6,3356.4678748233737,0.39495362852349797
Hierarchical,6,,0.32836800021349893
KMeans,7,3017.3435131071237,0.37978988290730514
Hierarchical,7,,0.3206075841388642
KMeans,8,2718.4207404961767,0.3677667139873667
Hierarchical,8,,0.3077800961447473
KMeans,9,2496.7363930363013,0.34827252052800717
Hierarchical,9,,0.3122076345884971
KMeans,10,2296.1617627575756,0.3538893278905189
Hierarchical,10,,0.2983901363616169
